:::MLLOG {"namespace":"","time_ms":1715266710242,"event_type":"INTERVAL_START","key":"power_measurement_start","value":"null","metadata":""}
:::MLLOG {"namespace": "", "time_ms": 1715266787471, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7072, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266789474, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7071, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266791469, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7082, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266793478, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7080, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266795505, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7085, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266797490, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7086, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266799507, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7091, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266801513, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7102, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266803502, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7092, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266805536, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7096, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266807521, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7092, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266809521, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7090, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266811544, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7093, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266813535, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7097, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266815615, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7135, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266817568, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7106, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266819552, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7106, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266821553, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7109, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266823568, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7111, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266825599, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7112, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266827584, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7124, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266829585, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7148, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266831592, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7142, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266833599, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7125, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266835606, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7123, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266837615, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7121, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266839638, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7129, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266841627, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7128, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266843634, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7123, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266845646, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7157, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266847706, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7133, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266849724, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7141, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266851647, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7140, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266853655, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7140, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266855664, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7134, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266857678, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7137, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266859678, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7152, "metadata": ""}
