:::MLLOG {"namespace":"","time_ms":1715293779837,"event_type":"INTERVAL_START","key":"power_measurement_start","value":"null","metadata":""}
:::MLLOG {"namespace": "", "time_ms": 1715293837989, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2619, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293840015, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 3493, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293842067, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4619, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293844021, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4756, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293846009, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4729, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293848017, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4696, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293850083, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4699, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293852051, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4688, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293854036, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4670, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293856038, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4675, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293858045, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4680, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293860145, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4686, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293862114, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4689, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293864060, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4678, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293866083, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4683, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293868068, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4683, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293870087, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4678, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293872092, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4677, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293874099, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4689, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293876085, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4675, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293878099, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4667, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293880099, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4686, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293882099, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4689, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293884100, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4691, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293886107, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4661, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293888130, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4666, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293890146, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 4661, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293892146, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6738, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293894130, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6733, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293896153, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6559, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293898142, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6673, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293900150, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6798, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293902177, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6825, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293904164, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5846, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293906172, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6749, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293908180, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6885, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293910193, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5653, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293912209, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6189, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293914211, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6804, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715293916201, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6847, "metadata": ""}
